no.;Kode Baru;Nama Bahan Makanan;Komposisi Zat Gizi Makanan per 100 gram BDD (Bagian yang Dapat Dimakan) - Sumber: TKPI 2019;;;;;;;;;;;;;;;;;;;;;;Mentah /Olahan;Kelompok Makanan;Sumber TKPI 2019;Porsi (g)
;;;Air;Energi;Protein;Lemak;Karbohidrat;Serat;Abu;Kalsium (Ca);Fosfor (P);Besi (Fe);Natrium (Na);Kalium (Ka);Tembaga (Cu);Seng (Zn);Retinol (vit. A);β-karoten;Karoten total;Thiamin (vit. B1);Riboflavin (vit. B2);Niasin;Vitamin C;BDD;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;(g);(Kal);(g);(g);(g);(g);(g);(mg);(mg);(mg);(mg);(mg);(mg);(mg);(mcg);(mcg);(mcg);(mg);(mg);(mg);(mg);(%);;;;
69;AP069;Kue kelapa;3,3;591;5,6;42,1;47,5;-;1,5;32;180;1,6;33;443;0,5;1,1;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
70;AP070;Kue koa;14,5;340;4,8;0,4;79,3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
71;AP071;Kue ku temu;46,2;214;3,5;0,2;49,6;-;0,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
72;AP072;Kue lumpur;40,1;291;3,6;11,1;44,1;-;1,1;96;60;2,3;-;-;-;-;20;-;400;0,24;-;-;-;100;Olahan;Serealia;KZGMS-1993;100
73;AP073;Kue pelita;71;141;5,3;5,5;17,6;-;0,6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
74;AP074;Kue putu cangkir;32,6;304;5,3;7;54,9;0,9;0,2;18;193;4;-;-;-;-;-;-;-;0,06;-;-;-;100;Olahan;Serealia;KZGPI-1990;100
75;AP075;Kue sus;56,6;221;7,5;10,2;24,8;-;0,9;105;85;2,5;-;-;-;-;26;-;1.300;0,12;-;-;-;100;Olahan;Serealia;KZGMS-1993;100
76;AP076;Kue thipan;43;247;2,9;4,2;49,5;-;0,4;16;107;1,8;95;56;1,3;0,8;-;-;-;0,17;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
77;AP077;Laksa/Putu mayang;73,2;121;1,7;3,4;21,1;-;0,6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
78;AP078;Lapis legit;21,3;389;6,6;15,7;55,5;0,5;0,9;16;136;1,9;-;-;-;-;41;-;1.032;0,26;0,09;3;-;100;Olahan;Serealia;KZGPI-1990;100
79;AP079;Lupis ketan;61;164;1,8;2,1;34,5;0,7;0,6;119;31;1,5;-;-;-;-;-;-;-;0,09;-;0,2;-;100;Olahan;Serealia;KZGPI-1990;100
80;AP080;Manan samin;27,1;379;3,4;18,1;50,6;-;0,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
